data_collection_year,geo_level_1,geo_level_2,geo_level_3,geo_level_4,geo_level_5,geo_level_6,geo_level_7,water_point_id,num_families_in_community,families_with_access_to_improved_water,families_without_access_to_improved_water,water_point_type,age_since_original_construction,risk_based_on_age,risk_based_on_current_condition,level_of_service,level_of_priority_to_repair_or_replace,level_of_service_score,alert,components,recommended_activity,remaining_lifespan_of_spring_protection,remaining_lifespan_of_taps,remaining_lifespan_of_well,remaining_lifespan_of_pump,remaining_lifespan_of_apron,state_of_spring_protection,state_of_taps,state_of_well,state_of_pump,state_of_apron,overall_state_of_water_point,water_point_improved,source_protected,number_of_users_meets_govt_standard,adequate_water_quality,adequate_water_quantity,out_of_service_one_day_or_less_in_past_month,water_available_from_point_on_day_of_visit,water_point_in_good_overall_condition,presense_of_spring_protection,year_spring_protection_constructed_or_reconstructed,presense_of_tap,year_taps_constructed_or_reconstructed,presense_of_well,year_well_constructed_or_reconstructed,presense_of_pump,year_pump_constructed_or_reconstructed,presense_of_apron,year_apron_constructed_or_reconstructed,days_out_of_service_in_last_year
2017,Uganda ,Kamwenge,Kibale,Bihanga,Kaberebere-Kijungu,Kitonzi,, ,70,60,10,Protected Deep Borehole,2014,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,1,1,2,1,1,1,1,1,0,1,1,1, , , , ,1,2014,1,2014,1,2014,0
2017,Uganda ,Kamwenge,Kibale,Bihanga,Kaberebere-Kijungu,Kitonzi,, ,40,37,3,Protected Deep Borehole,2014,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,1,1,1,1,1,1,1,0,0,1,1,1, , , , ,1,2014,1,2014,1,2014,0
2017,Uganda ,Kamwenge,Kibale,Bihanga,Kabingo,Nsonosa,, ,86,46,40,Protected Deep Borehole,2008,Medium Risk,Low Risk,Basic Level of Service,Medium Priority,5,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,11,1,11, , ,1,1,2,1,1,1,1,0,0,0,1,1, , , , ,1,2008,1,2008,1,2008,60
2017,Uganda ,Kamwenge,Kitagwenda,Buhanda,Bujumiro,Kengyeya  A,, ,300,150,150,Protected Deep Borehole,2012,Medium Risk,Low Risk,Basic Level of Service,Medium Priority,4,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,15,5,15, , ,1,1,1,2,1,1,0,0,0,1,1,0, , , , ,1,2012,1,2012,1,2012,0
2017,Uganda ,Kamwenge,Kibale,Busiriba,Bigodi,Bigodi,, ,200,200, ,Protected Deep Borehole,1984,High Risk,High Risk,Basic Level of Service,High Priority,3,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,-13,-23, , , ,3,3, ,3,1,1,1,0,0,0,0,0, , , , ,1,1984,1,1984,0, ,133225
2017,Uganda ,Kamwenge,Kibale,Busiriba,Bigodi,Bigodi,, ,200,200, ,Protected Deep Borehole,2011,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,14,4,14, , ,1,1,1,1,1,1,1,1,0,1,1,1, , , , ,1,2011,1,2011,1,2011,0
2017,Uganda ,Kamwenge,Kibale,Busiriba,Bigodi,Bigodi,, ,100,100, ,Protected Deep Borehole,2010,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,13,3,13, , ,1,1,1,1,1,1,1,0,0,1,1,1, , , , ,1,2010,1,2010,1,2010,0
2017,Uganda ,Kamwenge,Kibale,Busiriba,Busiriba,Busabura,,DWD 41532,50,45,5,Protected Deep Borehole,2014,Low Risk,High Risk,Basic Level of Service,High Priority,3,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,17,7,17, , ,3,3,2,3,1,1,1,0,0,0,0,0, , , , ,1,2014,1,2014,1,2014,4380
2017,Uganda ,Kamwenge,Kibale,Busiriba,Busiriba,Busiriba,,044-00227,250,230,20,Protected Deep Borehole,1997,High Risk,High Risk,Basic Level of Service,High Priority,3,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,0,-10,0, , ,3,3,2,3,1,1,1,0,0,0,0,0, , , , ,1,1997,1,1997,1,1997,4380
2017,Uganda ,Kamwenge,Kibale,Busiriba,Kahondo,Kitwe,, ,300,200,100,Protected Deep Borehole,1992,High Risk,High Risk,Basic Level of Service,High Priority,3,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,-5,-15, , , ,3,3, ,3,1,1,1,0,0,0,0,0, , , , ,1,1992,1,1992,0, ,365
2017,Uganda ,Kamwenge,Kibale,Busiriba,Kahondo,Kiyoima,,673,70,65,5,Protected Deep Borehole,2014,Low Risk,Medium Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,2,1,2,1,1,1,1,0,1,1,1,1, , , , ,1,2014,1,2014,1,2014,0
2017,Uganda ,Kamwenge,Kibale,Busiriba,Bigodi,Kyabakwerere,, ,20,20, ,Protected Deep Borehole,2003,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,6,-4,6, , ,1,1,1,1,1,1,1,0,0,1,1,1, , , , ,1,2003,1,2003,1,2003,0
2017,Uganda ,Kamwenge,Kibale,Busiriba,Bujongobe,Kyakagunga,, ,100,50,50,Protected Deep Borehole,1992,High Risk,High Risk,Basic Level of Service,High Priority,3,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,-5,-15, , , ,3,3, ,3,1,1,1,0,0,0,0,0, , , , ,1,1992,1,1992,0, ,365
2017,Uganda ,Kamwenge,Kibale,Busiriba,Kyakarafa,Kyakarafa  Ii,, ,100,100, ,Protected Deep Borehole,2003,Medium Risk,High Risk,Basic Level of Service,High Priority,3,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,6,4,14, , ,3,2,2,3,1,1,1,0,0,0,0,0, , , , ,1,2003,1,2011,1,2011,133225
2017,Uganda ,Kamwenge,Kibale,Busiriba,Bigodi,Nkingo,, ,65,50,15,Protected Deep Borehole,2003,Low Risk,Low Risk,Basic Level of Service,Medium Priority,4,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,6,8,18, , ,1,1,1,2,1,1,1,0,0,0,1,0, , , , ,1,2003,1,2015,1,2015,730
2017,Uganda ,Kamwenge,Kibale,Bwiizi,Bwizi,Kagoyigoyi,,56974,118,78,40,Protected Deep Borehole,2016,Low Risk,Low Risk,Basic Level of Service,Medium Priority,5,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,19,9,19, , ,1,1,1,1,1,1,0,0,0,1,1,1, , , , ,1,2016,1,2016,1,2016,0
2017,Uganda ,Kamwenge,Kibale,Bwiizi,Ntonwa,Ntonwa,, ,400,200,200,Protected Deep Borehole,2013,Low Risk,Medium Risk,Basic Level of Service,Medium Priority,4,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,16,6,16, , ,2,2,2,2,1,1,0,0,1,0,1,0, , , , ,1,2013,1,2013,1,2013,30
2017,Uganda ,Kamwenge,Kibale,Bwiizi,Bwizi,Nyabushozi,, ,100,60,40,Protected Deep Borehole,2015,Low Risk,Low Risk,High Level of Service,Low Priority,8,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,8,18, , ,1,1,1,1,1,1,1,1,1,1,1,1, , , , ,1,2015,1,2015,1,2015,0
2017,Uganda ,Kamwenge,Kibale,Kabambiro,Kebisingo,Butusi,, ,50,35,15,Protected Deep Borehole,2005,Medium Risk,Medium Risk,Basic Level of Service,Medium Priority,4,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,8,-2,8, , ,2,2,2,2,1,1,1,0,0,0,1,0, , , , ,1,2005,1,2005,1,2005,34
2017,Uganda ,Kamwenge,Kibale,Kabambiro,Iruhura,Iruhura,, ,46,23,23,Protected Deep Borehole,2014,Low Risk,High Risk,Basic Level of Service,High Priority,3,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,17,7,17, , ,3,3,1,3,1,1,1,0,0,0,0,0, , , , ,1,2014,1,2014,1,2014,133225
2017,Uganda ,Kamwenge,Kibale,Kabambiro,Kabambiro,Kabambiro I,, ,610,360,250,Protected Deep Borehole,2001,High Risk,Low Risk,Intermediate Level of Service,Medium Priority,7,Consider Replacing Aging Components,"Well, Pump,  ",Further Technical Diagnostic Needed , , ,4,-6,16, , ,1,1,1,1,1,1,1,1,0,1,1,1, , , , ,1,2001,1,2001,1,2013,0
2017,Uganda ,Kamwenge,Kibale,Kabambiro,Nyamashego,Kagorogoro,, ,40,40, ,Protected Deep Borehole,2011,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,14,4,14, , ,1,1,1,1,1,1,1,0,0,1,1,1, , , , ,1,2011,1,2011,1,2011,0
2017,Uganda ,Kamwenge,Kibale,Kabambiro,Nyamashego,Kagorogoro,,DWD 37754,300,300, ,Protected Deep Borehole,2013,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,16,6,16, , ,1,1,1,1,1,1,1,0,0,1,1,1, , , , ,1,2013,1,2013,1,2013,0
2017,Uganda ,Kamwenge,Kibale,Kabambiro,Kebisingo,Kebisingo I,, ,400,400, ,Protected Deep Borehole,2015,Low Risk,Medium Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,8,18, , ,2,2,1,1,1,1,1,1,0,1,1,1, , , , ,1,2015,1,2015,1,2015,0
2017,Uganda ,Kamwenge,Kibale,Kabambiro,Kebisingo,Kebisingo I,,51368,300,300, ,Protected Deep Borehole,2015,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,8,18, , ,1,1,1,1,1,1,1,0,0,1,1,1, , , , ,1,2015,1,2015,1,2015,0
2017,Uganda ,Kamwenge,Kibale,Kabambiro,Kebisingo,Kebisingo V,, ,200,180,20,Protected Deep Borehole,2013,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,16,6,16, , ,1,1,1,1,1,1,1,0,0,1,1,1, , , , ,1,2013,1,2013,1,2013,0
2017,Uganda ,Kamwenge,Kibale,Kabambiro,Kebisingo,Kebisingo V,, ,200,200, ,Protected Deep Borehole,2012,Medium Risk,Low Risk,High Level of Service,Low Priority,8,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,15,5,15, , ,1,1,1,1,1,1,1,1,1,1,1,1, , , , ,1,2012,1,2012,1,2012,0
2017,Uganda ,Kamwenge,Kibale,Kabambiro,Iruhura,Wambaye,,DWD 41537,200,58,142,Protected Deep Borehole,2014,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,1,1,1,1,1,1,1,0,0,1,1,1, , , , ,1,2014,1,2014,1,2014,0
2017,Uganda ,Kamwenge,Kibale,Kahunge,Mpanga,Buka Ii,,Nayikondo,80,60,20,Protected Deep Borehole,1990,High Risk,High Risk,Basic Level of Service,High Priority,4,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,-7,-3, , , ,2,3, ,3,1,1,1,0,1,0,0,0, , , , ,1,1990,1,2004,0, ,133225
2017,Uganda ,Kamwenge,Kibale,Kahunge,Rugonjo,Bunyonyi Ii,,35932,30,29,1,Protected Deep Borehole,2017,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,20,10,20, , ,1,1,1,1,1,1,1,0,1,1,1,1, , , , ,1,2017,1,2017,1,2017,0
2017,Uganda ,Kamwenge,Kibale,Kahunge,Rwenkuba,Byabasiita,, ,15,5,10,Protected Deep Borehole,2001,High Risk,Medium Risk,Basic Level of Service,High Priority,5,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,4,-6, , , ,2,2, ,2,1,0,1,0,1,1,1,0, , , , ,1,2001,1,2001,0, ,0
2017,Uganda ,Kamwenge,Kibale,Kahunge,Kiyagara,Kagada Ii,,DWD 51369,150,150, ,Protected Deep Borehole,2015,Low Risk,Low Risk,Basic Level of Service,Medium Priority,5,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,8,18, , ,1,1,1,1,1,1,0,0,0,1,1,1, , , , ,1,2015,1,2015,1,2015,0
2017,Uganda ,Kamwenge,Kibale,Kahunge,Kiyagara,Kasojo,, ,200,150,50,Protected Deep Borehole,2015,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,8,18, , ,1,1,1,1,1,1,1,0,1,1,1,1, , , , ,1,2015,1,2015,1,2015,0
2017,Uganda ,Kamwenge,Kibale,Kahunge,Kiyagara,Kicungiro,, ,600,400,200,Protected Deep Borehole,2013,Low Risk,High Risk,Basic Level of Service,High Priority,4,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,16,6,16, , ,3,3,2,3,1,1,1,0,1,0,0,0, , , , ,1,2013,1,2013,1,2013,180
2017,Uganda ,Kamwenge,Kibale,Kahunge,Kiyagara,Kiyagara,, ,300,250,50,Protected Deep Borehole,1974,Medium Risk,Medium Risk,Intermediate Level of Service,Medium Priority,6,Consider Replacing Aging Components,"Well,  ",Further Technical Diagnostic Needed , , ,-23,7,17, , ,2,2,2,1,1,1,0,0,1,1,1,1, , , , ,1,1974,1,2014,1,2014,0
2017,Uganda ,Kamwenge,Kibale,Kahunge,Kyakanyemera,Kyakanuni I,, ,288,168,120,Protected Deep Borehole,1996,High Risk,High Risk,Basic Level of Service,High Priority,3,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,-1,-11,-1, , ,3,3,1,3,1,1,0,0,1,0,0,0, , , , ,1,1996,1,1996,1,1996,133225
2017,Uganda ,Kamwenge,Kibale,Kahunge,Kyakanyemera,Kyakanyemera,, ,40,0,40,Protected Deep Borehole,1950,High Risk,High Risk,Basic Level of Service,High Priority,4,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,-47,-57,-47, , ,3,3,2,3,1,1,1,0,1,0,0,0, , , , ,1,1950,1,1950,1,1950,365
2017,Uganda ,Kamwenge,Kibale,Kahunge,Kyakanyemera,Kyamakoba,, ,53,30,23,Protected Deep Borehole,2015,Low Risk,High Risk,Inadequate Level of Service,High Priority,2,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,18,8,18, , ,3,3,1,3,1,1,0,0,0,0,0,0, , , , ,1,2015,1,2015,1,2015,480
2017,Uganda ,Kamwenge,Kibale,Kahunge,Rwenkuba,Lyamugonera,, ,50,40,10,Protected Deep Borehole,2001,High Risk,High Risk,Basic Level of Service,High Priority,4,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,4,9,4, , ,3,3,2,3,1,1,1,0,1,0,0,0, , , , ,1,2001,1,2016,1,2001,365
2017,Uganda ,Kamwenge,Kibale,Kahunge,Rwenkuba,Lyamugonera,, ,50,50, ,Protected Deep Borehole,1992,High Risk,High Risk,Basic Level of Service,High Priority,4,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,-5,4, , , ,3,3, ,3,1,1,1,0,1,0,0,0, , , , ,1,1992,1,2011,0, ,365
2017,Uganda ,Kamwenge,Kibale,Kahunge,Mpanga,Mpanga I,, ,70,70, ,Protected Deep Borehole,2016,Low Risk,Low Risk,Basic Level of Service,Medium Priority,5,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,19,9,19, , ,1,1,1,1,1,1,0,0,1,0,1,1, , , , ,1,2016,1,2016,1,2016,10
2017,Uganda ,Kamwenge,Kibale,Kahunge,Mpanga,Mpanga Iii,,7224,120,90,30,Protected Deep Borehole,1978,Medium Risk,Low Risk,Basic Level of Service,Medium Priority,5,Consider Replacing Aging Components,"Well,  ",Further Technical Diagnostic Needed , , ,-19,9,19, , ,1,1,1,1,1,1,0,0,0,1,1,1, , , , ,1,1978,1,2016,1,2016,0
2017,Uganda ,Kamwenge,Kibale,Kahunge,Kyakanyemera,Mukagoro,, ,50,50, ,Protected Deep Borehole,2016,Low Risk,Low Risk,Basic Level of Service,Medium Priority,5,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,19,9,19, , ,1,1,1,1,1,1,0,0,0,1,1,1, , , , ,1,2016,1,2016,1,2016,0
2017,Uganda ,Kamwenge,Kibale,Kahunge,Kyakanyemera,Mukagoro,, ,300,300, ,Protected Deep Borehole,1965,High Risk,Low Risk,Intermediate Level of Service,Medium Priority,6,Consider Replacing Aging Components,"Well, Pump,  ",Further Technical Diagnostic Needed , , ,-32,-42,8, , ,1,1,1,1,1,1,0,0,1,1,1,1, , , , ,1,1965,1,1965,1,2005,0
2017,Uganda ,Kamwenge,Kibale,Kahunge,Kyakanyemera,Nyabwina,, ,88,60,28,Protected Deep Borehole,2015,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,9,18, , ,1,1,1,1,1,1,1,0,0,1,1,1, , , , ,1,2015,1,2016,1,2015,0
2017,Uganda ,Kamwenge,Kibale,Kahunge,Nyakahama,Nyakahama I,, ,60,60, ,Protected Deep Borehole,1962,High Risk,Low Risk,Intermediate Level of Service,Medium Priority,6,Consider Replacing Aging Components,"Well, Pump,  ",Further Technical Diagnostic Needed , , ,-35,-11,19, , ,1,1,2,1,1,1,0,0,1,1,1,1, , , , ,1,1962,1,1996,1,2016,0
2017,Uganda ,Kamwenge,Kibale,Kahunge,Nyakahama,Nyakahama Ii,, ,90,20,70,Protected Deep Borehole,1966,High Risk,High Risk,Basic Level of Service,High Priority,3,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,-31,-41,0, , ,3,3,3,3,1,1,0,0,1,0,0,0, , , , ,1,1966,1,1966,1,1997,133225
2017,Uganda ,Kamwenge,Kibale,Kahunge,Mpanga,Rugando,, ,130,40,90,Protected Deep Borehole,1989,High Risk,High Risk,Basic Level of Service,High Priority,3,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,-8,-18, , , ,3,3, ,3,1,1,1,0,0,0,0,0, , , , ,1,1989,1,1989,0, ,4380
2017,Uganda ,Kamwenge,Kibale,Kahunge,Rugonjo,Rugonjo,, ,500,300,200,Protected Deep Borehole,1997,Low Risk,Low Risk,Basic Level of Service,Medium Priority,5,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,8,18, , ,1,1,1,2,1,1,1,0,0,1,1,0, , , , ,1,2015,1,2015,1,2015,0
2017,Uganda ,Kamwenge,Kibale,Kahunge,Rugonjo,Rugonjo,,10475,150,135,15,Protected Deep Borehole,2017,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,20,10,20, , ,1,1,1,1,1,1,1,0,1,1,1,1, , , , ,1,2017,1,2017,1,2017,0
2017,Uganda ,Kamwenge,Kibale,Kahunge,Kyakanyemera,Rwendongo,,DWD 34639,70,70, ,Protected Deep Borehole,2011,Medium Risk,Medium Risk,Basic Level of Service,Medium Priority,5,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,14,4,14, , ,2,2,2,2,1,1,1,0,0,1,1,0, , , , ,1,2011,1,2011,1,2011,0
2017,Uganda ,Kamwenge,Kibale,Kahunge,Kyakanyemera,Rwengoro Iii,, ,70,50,20,Protected Deep Borehole,1966,High Risk,High Risk,Basic Level of Service,High Priority,4,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,-31,-41,-31, , ,3,3,1,3,1,1,1,0,1,0,0,0, , , , ,1,1966,1,1966,1,1966,133225
2017,Uganda ,Kamwenge,Kibale,Kahunge,Rwenkuba,Rwenkuba  Ii,, ,40,40, ,Protected Deep Borehole,2006,Medium Risk,Medium Risk,Intermediate Level of Service,Medium Priority,6,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,9,-1,9, , ,2,2,2,2,1,1,1,0,1,1,1,0, , , , ,1,2006,1,2006,1,2006,0
